"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default"
92,280000,"2","1","2",39,-1,-1,-1,0,0,-2,7534,0,3969,3864,0,0,0,1684288,0,0,0,0,"N"
93,1e+05,"2","1","2",27,-2,-2,-2,-2,-2,-2,-1967,5595,0,0,0,0,873589,0,0,0,0,0,"Y"
95,60000,"2","2","2",23,0,0,0,0,0,0,45646,46837,47190,19559,19196,19321,873589,1684288,896060,621037,426531,528665,"N"
96,90000,"1","2","2",35,0,0,0,0,0,0,83728,85990,87639,35542,30936,30838,873589,1684288,896060,621037,426531,528665,"N"
97,360000,"1","1","1",43,-1,-1,-1,-1,-1,0,3964,8308,3369,6414,26356,9953,873589,1684288,896060,621037,0,528665,"N"
99,50000,"2","3","1",22,0,0,0,0,0,0,18744,18182,17020,13174,8888,7921,873589,1684288,896060,621037,426531,528665,"Y"
100,20000,"1","2","1",38,0,0,0,0,0,-1,18006,19407,19605,18293,17968,183,873589,1684288,896060,621037,426531,0,"Y"
102,380000,"2","1","2",30,-2,-2,-1,0,0,0,-40,-252,32537,32963,33615,34097,873589,1684288,896060,621037,426531,528665,"N"
103,480000,"1","1","1",63,0,0,0,2,2,0,422069,431332,479412,487036,471135,469961,873589,1684288,896060,0,426531,528665,"N"
105,60000,"2","2","2",26,2,2,2,2,2,0,56692,55208,59168,60205,55447,55312,0,1684288,896060,621037,426531,528665,"N"
107,80000,"2","2","1",36,-1,-1,-1,-1,-1,-1,6120,2868,3280,3318,1157,1162,873589,1684288,896060,621037,426531,528665,"N"
108,350000,"1","1","2",52,-1,-1,-1,-1,-1,-1,731,2288,737,881,1166,5281,873589,1684288,896060,621037,426531,528665,"N"
110,360000,"1","2","1",35,1,-2,-2,-2,-2,-2,-81,-79,-78,-77,-79,-81,0,0,0,0,0,0,"N"
112,50000,"1","3","1",47,0,0,2,0,0,0,13266,14745,15205,15953,16694,17415,873589,1684288,896060,621037,426531,528665,"N"
114,1e+05,"2","1","2",24,0,0,0,0,0,0,52138,52697,54477,56071,60105,59723,873589,1684288,896060,621037,426531,528665,"N"
115,50000,"1","2","2",41,0,0,0,0,0,0,19002,19264,20213,20211,20281,19944,873589,1684288,896060,621037,426531,528665,"N"
116,30000,"1","1","2",24,-1,2,0,0,3,2,18211,17627,18636,21320,20701,21213,0,1684288,896060,0,426531,528665,"Y"
120,240000,"2","2","2",38,0,0,0,0,-1,-1,50277,51469,53040,52506,1331,1226,873589,1684288,896060,621037,426531,528665,"N"
121,50000,"1","3","2",37,2,2,2,3,2,2,45994,45951,48913,48796,49293,51133,873589,1684288,896060,621037,426531,0,"Y"
124,310000,"2","2","1",35,2,0,0,0,0,0,304991,311233,306294,258580,246481,198889,873589,1684288,896060,621037,426531,528665,"Y"
125,20000,"1","1","2",27,0,0,0,0,0,0,19135,18982,19318,19398,19737,15650,873589,1684288,896060,621037,426531,0,"N"
127,2e+05,"1","3","2",52,0,0,0,0,0,0,110159,99532,98946,100903,103148,105001,873589,1684288,896060,621037,426531,528665,"N"
128,180000,"1","1","1",36,0,0,0,0,0,0,163716,116381,99217,95685,97712,95907,873589,1684288,896060,621037,426531,528665,"Y"
129,50000,"1","2","1",51,0,0,0,0,0,0,3343,3882,4474,5306,6358,7073,873589,1684288,896060,621037,426531,528665,"Y"
130,60000,"1","3","1",55,3,2,2,0,0,0,60545,61475,57271,28882,29535,26571,873589,1684288,896060,621037,426531,528665,"Y"
131,30000,"2","1","2",23,1,-2,-2,-2,-1,-1,4031,5682,3551,21,13781,5937,873589,1684288,896060,621037,426531,528665,"N"
132,240000,"1","1","2",41,1,-1,-1,0,0,-1,105,2627,3301,3159,365,1747,873589,1684288,0,621037,426531,528665,"N"
133,420000,"1","2","1",34,0,0,0,0,0,0,253474,247763,229069,220971,210626,188128,873589,1684288,896060,621037,426531,528665,"N"
134,330000,"1","3","1",46,0,0,0,0,0,0,227431,228773,229709,227663,227829,228245,873589,1684288,896060,621037,426531,528665,"N"
135,30000,"2","2","2",22,0,0,0,0,0,0,28501,26208,26790,25442,17666,-731,873589,1684288,0,621037,0,528665,"N"
138,210000,"2","2","1",33,0,0,0,0,0,0,7210,8053,8860,9269,4460,5752,873589,1684288,896060,621037,426531,528665,"N"
139,50000,"2","3","1",51,-1,-1,-1,-1,-2,-2,763,306,5881,0,0,0,873589,1684288,0,0,0,0,"Y"
140,50000,"1","1","2",24,0,0,0,0,0,0,50820,50161,49604,19447,19393,19014,873589,1684288,896060,621037,426531,528665,"N"
141,240000,"1","1","2",47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"Y"
142,180000,"1","2","2",28,-1,-1,-1,-1,-1,-1,1834,0,816,308,409,418,0,1684288,896060,621037,426531,528665,"N"
143,50000,"1","2","2",23,1,2,2,2,0,0,10142,10840,20585,19994,19886,18076,873589,1684288,896060,621037,426531,528665,"N"
144,170000,"1","2","2",29,-2,-2,-2,-2,-2,-2,12178,10019,10019,10019,10002,15865,873589,1684288,896060,621037,426531,528665,"N"
145,20000,"1","1","2",29,-1,-1,-1,-1,0,-1,1211,15594,347,2339,6710,351,873589,1684288,896060,621037,426531,528665,"N"
146,50000,"1","1","2",28,0,0,0,0,0,3,5041,5966,7380,9271,10677,10180,873589,1684288,896060,621037,426531,0,"N"
147,170000,"2","2","2",27,0,0,0,0,0,0,19279,20319,20853,17556,17924,9110,873589,1684288,896060,621037,426531,0,"Y"
150,260000,"2","1","1",60,1,-2,-1,-1,-1,-1,-1101,-1112,21378,0,957,868,0,1684288,0,621037,426531,0,"N"
152,80000,"1","1","2",25,0,0,0,0,0,0,42433,55717,43434,41029,41924,31815,873589,1684288,896060,621037,426531,528665,"N"
154,280000,"2","2","1",56,0,0,0,0,0,0,208790,182362,132266,101789,177157,169326,873589,1684288,896060,621037,426531,528665,"N"
159,210000,"1","3","1",45,2,3,4,4,5,6,115794,122908,129846,137270,145537,154114,873589,1684288,896060,621037,426531,528665,"Y"
160,50000,"1","3","1",57,3,2,0,0,0,0,12900,12421,13519,13511,13770,14129,0,1684288,896060,621037,426531,528665,"N"
162,50000,"1","2","2",27,2,-1,-1,-1,-1,2,389,378,757,182,1068,539,873589,1684288,896060,621037,0,528665,"N"
163,290000,"1","3","1",47,-1,-1,-1,-1,0,-1,1257,421,423,820,421,446,873589,1684288,896060,0,426531,528665,"N"
165,60000,"2","2","1",46,0,0,0,0,0,0,21180,23841,24952,26084,26693,27788,873589,1684288,896060,621037,426531,528665,"N"
168,1e+05,"1","2","1",27,-1,2,2,0,0,0,102378,96881,58862,29379,23013,-217,873589,0,896060,621037,426531,528665,"N"
169,90000,"2","2","1",35,0,0,0,0,0,2,72134,73877,75549,77341,85875,88312,873589,1684288,896060,621037,426531,0,"N"
171,270000,"1","2","2",37,0,0,0,0,0,0,37710,33410,30545,27607,26357,24656,873589,1684288,896060,621037,426531,528665,"N"
173,50000,"2","2","2",22,-1,0,0,0,0,0,8552,15241,11600,7390,3083,7710,873589,1684288,896060,0,426531,528665,"N"
174,50000,"2","1","2",24,1,-2,-2,-2,-2,-2,-655,-638,-621,-2794,-3201,-3218,0,0,0,0,0,0,"Y"
175,360000,"1","1","2",29,1,-2,-1,-1,-2,-2,0,0,132,0,0,0,0,1684288,0,0,0,0,"N"
177,80000,"1","1","2",30,-2,-1,0,0,0,0,6178,77,562,1386,1896,5371,873589,1684288,896060,621037,426531,0,"N"
179,20000,"2","2","2",22,0,0,0,0,0,0,16031,12656,13260,13174,14068,14936,873589,1684288,896060,621037,426531,528665,"N"
180,80000,"2","2","1",29,0,0,2,0,0,0,77903,81831,80270,61487,10682,11506,873589,1684288,896060,621037,426531,0,"N"
181,240000,"1","1","2",37,-1,-1,2,0,0,-1,12235,26603,25357,26633,26304,1279,873589,0,896060,0,426531,528665,"N"
182,80000,"2","3","2",35,0,-1,0,0,0,0,49616,12414,14870,17355,17772,17468,873589,1684288,896060,621037,426531,528665,"N"
183,5e+05,"2","1","1",47,0,0,0,0,0,0,56449,110647,110375,123005,108865,70091,873589,1684288,896060,621037,426531,528665,"N"
184,60000,"2","2","1",24,0,0,0,0,0,0,58050,57920,48871,19006,19352,19421,873589,1684288,896060,621037,426531,528665,"Y"
185,20000,"1","2","2",25,0,0,0,0,0,-1,10656,11689,13079,12286,1627,1634,873589,1684288,896060,621037,426531,0,"N"
186,1e+05,"2","2","1",38,1,2,0,0,2,0,14476,13941,15290,16221,15848,16441,0,1684288,896060,0,426531,528665,"Y"
187,360000,"2","1","2",32,1,-1,-1,-1,-1,-1,2650,57118,5335,68500,13922,16274,873589,1684288,896060,621037,426531,528665,"N"
188,2e+05,"2","3","2",47,2,2,2,2,2,2,199467,202984,193978,196234,200199,189946,873589,1684288,896060,621037,0,528665,"Y"
190,20000,"2","2","2",31,1,5,4,4,3,2,21691,21059,21417,20775,20191,20475,0,1684288,0,0,426531,0,"N"
191,310000,"1","1","2",32,0,0,0,0,0,0,59925,62173,62130,65905,60413,43352,873589,1684288,896060,621037,426531,528665,"N"
193,180000,"2","1","2",29,-1,-1,-1,-2,-1,0,11411,227,0,0,17255,17067,873589,0,0,621037,426531,528665,"N"
194,180000,"2","1","2",24,-1,-1,2,0,0,-2,14664,22068,21250,10155,0,0,873589,0,896060,0,0,0,"N"
197,150000,"2","2","1",34,-2,-2,-2,-2,-2,-2,0,0,0,156,0,1528,0,0,896060,0,426531,0,"N"
198,20000,"2","1","2",22,0,0,0,0,-1,0,18585,19484,19108,8381,18906,19279,873589,1684288,896060,621037,426531,528665,"N"
199,5e+05,"2","1","1",34,-2,-2,-2,-1,-1,-1,468,212,2392,1362,1280,1207,873589,1684288,896060,621037,426531,528665,"N"
200,30000,"2","3","2",22,1,2,2,0,0,0,29033,29280,28147,29862,1654,0,873589,1684288,896060,621037,0,0,"Y"
201,180000,"2","1","1",38,-2,-2,-2,-2,-2,-2,730,0,0,0,0,0,0,0,0,0,0,0,"Y"
204,120000,"1","2","2",26,0,0,0,0,0,0,107375,110660,113838,116123,119213,122196,873589,1684288,896060,621037,426531,528665,"N"
205,360000,"2","2","1",48,0,0,0,0,0,0,226422,231857,234157,190162,173536,146503,873589,1684288,896060,621037,426531,528665,"N"
207,1e+05,"1","1","1",47,-1,-1,-1,-1,-1,-1,396,1472,382,375,389,0,873589,1684288,896060,621037,0,528665,"N"
208,210000,"2","2","1",41,-1,-1,-1,-1,-1,-1,3087,1574,321,3730,865,0,873589,1684288,896060,621037,0,528665,"Y"
209,80000,"2","2","2",24,0,0,0,0,0,0,81632,81555,79593,49540,49510,49575,873589,1684288,896060,621037,426531,528665,"Y"
210,330000,"2","1","1",50,-1,-1,-1,-1,-2,-2,8888,4351,2867,1701,0,1725,873589,1684288,896060,0,426531,528665,"N"
211,220000,"1","1","2",24,0,0,0,-1,-1,-1,105603,108901,111492,8263,0,85628,873589,1684288,896060,0,426531,0,"N"
212,210000,"2","1","1",38,1,-2,-1,0,-1,-1,0,0,351,245,870,1283,0,1684288,0,621037,426531,528665,"Y"
213,40000,"2","3","1",43,0,0,0,0,0,0,38279,38924,38127,36232,33161,31361,873589,1684288,896060,621037,426531,528665,"N"
214,30000,"1","2","2",39,0,0,0,2,0,0,28365,28125,18405,13008,7753,8050,873589,1684288,0,621037,426531,528665,"N"
215,470000,"1","2","2",27,2,2,2,2,0,0,296603,303355,307883,480023,305180,309989,873589,1684288,0,621037,426531,528665,"N"
216,30000,"1","3","1",42,-1,-1,-1,-1,-1,2,411,411,411,262,1341,801,873589,1684288,896060,621037,0,0,"N"
217,240000,"2","2","1",36,1,-2,-2,-2,-2,-2,-929,-930,-931,-933,-930,-929,0,0,0,0,0,0,"Y"
218,80000,"1","2","2",36,2,0,0,0,0,0,79328,78565,78613,80110,76299,78295,873589,1684288,896060,621037,426531,528665,"N"
221,360000,"2","1","1",40,2,2,2,0,0,0,105195,115500,112192,114729,117877,120266,873589,0,896060,621037,426531,528665,"Y"
222,330000,"2","3","2",45,0,0,0,0,0,0,335209,334963,335533,333862,335769,330134,873589,1684288,896060,621037,426531,528665,"N"
223,3e+05,"2","2","2",35,0,0,0,0,0,0,291629,297272,205628,215821,208468,212518,873589,1684288,896060,621037,426531,528665,"N"
225,50000,"2","3","2",37,1,3,2,0,0,0,52655,51570,49242,30435,30282,29986,0,1684288,896060,621037,426531,528665,"Y"
226,170000,"2","1","2",28,0,0,0,0,0,0,130387,131214,128913,125525,127295,128856,873589,1684288,896060,621037,426531,528665,"N"
227,350000,"1","3","1",44,-1,-1,-1,-1,-1,-2,3295,2721,1905,615,0,0,873589,1684288,896060,0,0,0,"N"
228,20000,"1","2","1",37,0,0,0,0,0,0,16470,16524,18913,18776,18663,19190,873589,1684288,896060,621037,426531,528665,"N"
230,20000,"2","3","2",24,1,2,0,0,0,0,19199,18223,17303,7713,1788,0,0,1684288,896060,621037,0,528665,"N"
231,50000,"2","1","2",24,0,0,0,0,0,0,35099,35808,30946,19426,10397,1323,873589,1684288,896060,621037,426531,528665,"N"
232,20000,"1","2","2",23,1,2,0,0,2,0,20274,17180,16914,16942,13502,10143,0,1684288,896060,0,426531,528665,"Y"
233,50000,"1","2","1",26,0,0,-2,-1,-1,0,102796,0,0,2584,45551,46553,0,0,896060,621037,426531,528665,"N"
235,60000,"2","2","1",33,0,0,0,0,0,0,58218,36379,20943,20701,20187,19436,873589,1684288,896060,621037,426531,528665,"N"
236,80000,"1","1","2",35,-1,-1,-1,-1,-1,-1,8000,3985,6852,1719,1386,19954,873589,1684288,896060,621037,426531,528665,"N"
237,150000,"2","2","2",27,0,0,0,0,0,0,127449,110110,51621,44471,36960,29544,873589,1684288,896060,621037,426531,528665,"N"
238,210000,"2","1","2",31,-2,-2,-2,-2,-1,-1,1460,0,7441,912,6101,2313,0,1684288,896060,621037,426531,528665,"N"
239,240000,"2","3","1",50,0,0,0,0,0,0,234230,231696,214672,207674,210402,214719,873589,1684288,896060,621037,426531,528665,"Y"
240,140000,"2","2","3",41,0,0,0,0,0,0,19347,21700,22922,19041,16401,16384,873589,1684288,896060,621037,426531,528665,"Y"
241,60000,"2","1","2",28,1,2,2,-2,-2,-1,21506,20648,0,0,0,2290,0,0,0,0,426531,0,"N"
242,50000,"1","1","2",39,0,0,0,0,0,0,47214,48024,48690,50873,30839,15914,873589,1684288,896060,621037,426531,528665,"N"
243,50000,"2","2","2",27,0,0,0,0,0,0,26700,27782,28746,28073,28848,29444,873589,1684288,896060,621037,426531,528665,"N"
244,180000,"2","1","2",32,-1,-1,2,2,-1,-1,3184,5910,2891,0,2878,0,873589,0,0,621037,0,528665,"N"
247,250000,"2","2","1",75,0,-1,-1,-1,-1,-1,52914,1682,1597,1081,5623,834,873589,1684288,896060,621037,426531,528665,"N"
248,1e+05,"2","2","2",27,0,0,0,0,0,0,37786,34476,30055,30356,31016,32923,873589,1684288,896060,621037,426531,0,"Y"
249,330000,"1","1","2",25,0,0,0,0,2,0,46174,45822,48187,51192,39491,25392,873589,1684288,896060,621037,426531,528665,"N"
250,50000,"1","3","1",46,0,0,0,0,0,0,35714,15383,16080,16389,16756,17485,873589,1684288,896060,621037,426531,528665,"N"
251,50000,"2","2","2",26,1,2,2,0,0,0,50865,51473,48845,30080,29514,29996,873589,1684288,896060,621037,426531,528665,"N"
252,30000,"1","2","2",28,0,0,0,0,0,0,29263,29528,29177,25277,22022,0,873589,1684288,896060,621037,0,0,"N"
253,140000,"2","2","2",26,0,0,0,0,0,0,101547,105230,104753,105294,107683,106824,873589,1684288,896060,621037,426531,528665,"Y"
254,160000,"2","1","2",28,0,0,0,0,-1,0,70267,47805,28080,7252,99695,84450,873589,1684288,896060,621037,426531,528665,"N"
255,4e+05,"2","2","2",29,-1,0,-1,-1,-1,-1,19578,3778,1525,5029,1955,2532,873589,1684288,896060,621037,426531,528665,"N"
256,50000,"1","2","1",25,0,0,0,0,0,0,27698,28502,29320,29896,29522,28537,873589,1684288,896060,621037,426531,528665,"N"
257,140000,"2","2","1",48,0,-1,-1,-1,-1,-1,1159,1231,852,1338,1128,21366,873589,1684288,896060,621037,426531,528665,"N"
258,160000,"2","2","1",33,-1,-1,-1,-1,0,-1,8036,2474,9646,52594,7354,2231,873589,1684288,896060,621037,426531,0,"N"
260,220000,"1","1","1",48,2,0,0,0,0,0,210392,213531,201857,169116,172178,162414,873589,1684288,896060,621037,426531,528665,"Y"
261,510000,"2","1","2",29,0,0,0,0,0,0,78368,99460,107741,103840,87311,36776,873589,1684288,896060,621037,426531,528665,"N"
262,50000,"1","2","2",29,0,0,0,0,0,0,49315,35149,32622,27891,29179,28348,873589,1684288,896060,621037,426531,528665,"N"
264,230000,"2","1","2",37,-2,-2,-2,-2,-2,-2,2266,50779,0,0,263,321,873589,0,0,621037,426531,0,"N"
266,150000,"2","2","1",25,-1,-1,-2,-1,-1,-1,6197,0,0,389,368,357,0,0,896060,621037,426531,528665,"N"
268,130000,"2","3","2",49,0,0,0,0,0,0,89019,91376,72209,49664,28079,27516,873589,1684288,896060,621037,426531,0,"Y"
269,40000,"2","1","2",48,0,0,0,0,0,0,34837,34388,33546,34471,34701,35639,873589,1684288,896060,621037,426531,528665,"N"
